# WASA-at-COSY CD Field Map
#
# transcription from WMC cd_field_rect.dat
#
# 090205 CFR
#
#
#  R(cm)          Z(cm)           Fr(kGs)        Fz(kGs)
0.00E+000       -1.00E+002       0.00E+000      8.09E-003
5.00E+000       -1.00E+002       5.43E-004      8.09E-003
1.00E+001       -1.00E+002      -5.15E-004      9.87E-003
1.50E+001       -1.00E+002      -2.53E-003      6.77E-003
2.00E+001       -1.00E+002      -1.42E-003      4.52E-003
2.50E+001       -1.00E+002      -7.78E-004      3.57E-003
3.00E+001       -1.00E+002      -4.88E-004      3.07E-003
3.50E+001       -1.00E+002      -3.54E-004      2.69E-003
4.00E+001       -1.00E+002      -2.99E-004      2.38E-003
4.50E+001       -1.00E+002      -2.69E-004      2.13E-003
5.00E+001       -1.00E+002      -2.62E-004      1.89E-003
5.50E+001       -1.00E+002      -2.52E-004      1.66E-003
6.00E+001       -1.00E+002      -2.52E-004      1.42E-003
6.50E+001       -1.00E+002      -2.35E-004      1.21E-003
7.00E+001       -1.00E+002      -2.23E-004      1.00E-003
7.50E+001       -1.00E+002      -2.12E-004      8.12E-004
8.00E+001       -1.00E+002      -1.98E-004      6.28E-004
8.50E+001       -1.00E+002      -1.86E-004      4.60E-004
9.00E+001       -1.00E+002      -1.77E-004      2.95E-004
9.50E+001       -1.00E+002      -1.65E-004      1.44E-004

0.00E+000       -9.50E+001       0.00E+000      7.74E-003
5.00E+000       -9.50E+001       1.95E-004      8.68E-003
1.00E+001       -9.50E+001      -1.18E-003      8.84E-003
1.50E+001       -9.50E+001      -2.54E-003      6.77E-003
2.00E+001       -9.50E+001      -1.21E-003      4.21E-003
2.50E+001       -9.50E+001      -6.82E-004      3.41E-003
3.00E+001       -9.50E+001      -4.88E-004      3.07E-003
3.50E+001       -9.50E+001      -3.35E-004      2.59E-003
4.00E+001       -9.50E+001      -2.89E-004      2.29E-003
4.50E+001       -9.50E+001      -2.67E-004      2.05E-003
5.00E+001       -9.50E+001      -2.59E-004      1.82E-003
5.50E+001       -9.50E+001      -2.52E-004      1.58E-003
6.00E+001       -9.50E+001      -2.52E-004      1.42E-003
6.50E+001       -9.50E+001      -2.31E-004      1.14E-003
7.00E+001       -9.50E+001      -2.19E-004      9.41E-004
7.50E+001       -9.50E+001      -2.07E-004      7.51E-004
8.00E+001       -9.50E+001      -1.94E-004      5.72E-004
8.50E+001       -9.50E+001      -1.83E-004      4.05E-004
9.00E+001       -9.50E+001      -1.73E-004      2.45E-004
9.50E+001       -9.50E+001      -1.64E-004      9.59E-005
                        
0.00E+000       -9.00E+001      0.00E+000       5.68E-003
5.00E+000       -9.00E+001      4.26E-003       1.20E-002
1.00E+001       -9.00E+001      4.79E-003       1.81E-002
1.50E+001       -9.00E+001      -5.74E-003      4.11E-003
2.00E+001       -9.00E+001      -2.06E-003      3.50E-003
2.50E+001       -9.00E+001      -1.17E-003      3.12E-003
3.00E+001       -9.00E+001      -8.68E-004      2.93E-003
3.50E+001       -9.00E+001      -6.32E-004      2.56E-003
4.00E+001       -9.00E+001      -5.58E-004      2.31E-003
4.50E+001       -9.00E+001      -5.34E-004      2.08E-003
5.00E+001       -9.00E+001      -5.18E-004      1.84E-003
5.50E+001       -9.00E+001      -5.00E-004      1.60E-003
6.00E+001       -9.00E+001      -4.88E-004      1.44E-003
6.50E+001       -9.00E+001      -4.61E-004      1.16E-003
7.00E+001       -9.00E+001      -4.39E-004      9.47E-004
7.50E+001       -9.00E+001      -4.16E-004      7.54E-004
8.00E+001       -9.00E+001      -3.91E-004      5.75E-004
8.50E+001       -9.00E+001      -3.69E-004      4.09E-004
9.00E+001       -9.00E+001      -3.49E-004      2.44E-004
9.50E+001       -9.00E+001      -3.30E-004      9.42E-005

0.00E+000       -8.50E+001      0.00E+000       4.72E-003
5.00E+000       -8.50E+001      6.16E-003       1.78E-002
1.00E+001       -8.50E+001      1.16E-002       3.11E-002
1.50E+001       -8.50E+001      -4.32E-003      1.74E-003
2.00E+001       -8.50E+001      -2.12E-003      2.71E-003
2.50E+001       -8.50E+001      -1.36E-003      2.82E-003
3.00E+001       -8.50E+001      -1.07E-003      2.79E-003
3.50E+001       -8.50E+001      -8.71E-004      2.57E-003
4.00E+001       -8.50E+001      -8.24E-004      2.36E-003
4.50E+001       -8.50E+001      -8.01E-004      2.13E-003
5.00E+001       -8.50E+001      -7.79E-004      1.88E-003
5.50E+001       -8.50E+001      -7.54E-004      1.63E-003
6.00E+001       -8.50E+001      -7.34E-004      1.47E-003
6.50E+001       -8.50E+001      -7.00E-004      1.17E-003
7.00E+001       -8.50E+001      -6.65E-004      9.56E-004
7.50E+001       -8.50E+001      -6.28E-004      7.55E-004
8.00E+001       -8.50E+001      -5.93E-004      5.71E-004
8.50E+001       -8.50E+001      -5.53E-004      4.06E-004
9.00E+001       -8.50E+001      -5.19E-004      2.44E-004
9.50E+001       -8.50E+001      -4.96E-004      9.30E-005

0.00E+000       -8.00E+001      0.00E+000       9.90E-003
5.00E+000       -8.00E+001      -7.54E-003      5.88E-002
1.00E+001       -8.00E+001      -9.54E-003      1.08E-001
1.50E+001       -8.00E+001      -2.85E-003      1.33E-003
2.00E+001       -8.00E+001      -1.73E-003      2.33E-003
2.50E+001       -8.00E+001      -1.28E-003      2.66E-003
3.00E+001       -8.00E+001      -1.12E-003      2.76E-003
3.50E+001       -8.00E+001      -1.07E-003      2.67E-003
4.00E+001       -8.00E+001      -1.08E-003      2.46E-003
4.50E+001       -8.00E+001      -1.08E-003      2.21E-003
5.00E+001       -8.00E+001      -1.06E-003      1.95E-003
5.50E+001       -8.00E+001      -1.03E-003      1.68E-003
6.00E+001       -8.00E+001      -1.01E-003      1.51E-003
6.50E+001       -8.00E+001      -9.49E-004      1.19E-003
7.00E+001       -8.00E+001      -8.95E-004      9.64E-004
7.50E+001       -8.00E+001      -8.43E-004      7.57E-004
8.00E+001       -8.00E+001      -7.91E-004      5.71E-004
8.50E+001       -8.00E+001      -7.40E-004      4.03E-004
9.00E+001       -8.00E+001      -6.96E-004      2.42E-004
9.50E+001       -8.00E+001      -6.58E-004      9.23E-005

0.00E+000       -7.50E+001      0.00E+000       3.22E-002
5.00E+000       -7.50E+001      -2.05E-002      6.07E-002
1.00E+001       -7.50E+001      -1.70E-002      9.06E-002
1.50E+001       -7.50E+001      -1.63E-003      1.27E-003
2.00E+001       -7.50E+001      -1.17E-003      2.26E-003
2.50E+001       -7.50E+001      -1.03E-003      2.71E-003
3.00E+001       -7.50E+001      -1.00E-003      2.91E-003
3.50E+001       -7.50E+001      -1.26E-003      2.90E-003
4.00E+001       -7.50E+001      -1.37E-003      2.63E-003
4.50E+001       -7.50E+001      -1.37E-003      2.34E-003
5.00E+001       -7.50E+001      -1.36E-003      2.05E-003
5.50E+001       -7.50E+001      -1.34E-003      1.76E-003
6.00E+001       -7.50E+001      -1.31E-003      1.56E-003
6.50E+001       -7.50E+001      -1.21E-003      1.21E-003
7.00E+001       -7.50E+001      -1.14E-003      9.70E-004
7.50E+001       -7.50E+001      -1.06E-003      7.58E-004
8.00E+001       -7.50E+001      -9.88E-004      5.67E-004
8.50E+001       -7.50E+001      -9.25E-004      3.99E-004
9.00E+001       -7.50E+001      -8.68E-004      2.38E-004
9.50E+001       -7.50E+001      -8.21E-004      8.87E-005
                        
0.00E+000       -7.00E+001      0.00E+000       1.14E-001
5.00E+000       -7.00E+001      -8.15E-002      4.90E-002
1.00E+001       -7.00E+001      -1.75E-001      -6.33E-003
1.50E+001       -7.00E+001      -3.04E-001      1.46E-002
2.00E+001       -7.00E+001      -6.40E-001      -2.06E-001
2.50E+001       -7.00E+001      -2.94E-001      2.79E-001
3.00E+001       -7.00E+001      -4.40E-001      2.95E-001
3.50E+001       -7.00E+001      1.69E-001       2.45E-001
4.00E+001       -7.00E+001      -1.76E-003      2.81E-003
4.50E+001       -7.00E+001      -1.69E-003      2.47E-003
5.00E+001       -7.00E+001      -1.67E-003      2.18E-003
5.50E+001       -7.00E+001      -1.66E-003      1.85E-003
6.00E+001       -7.00E+001      -1.63E-003      1.62E-003
6.50E+001       -7.00E+001      -1.50E-003      1.22E-003
7.00E+001       -7.00E+001      -1.39E-003      9.63E-004
7.50E+001       -7.00E+001      -1.28E-003      7.45E-004
8.00E+001       -7.00E+001      -1.19E-003      5.55E-004
8.50E+001       -7.00E+001      -1.11E-003      3.89E-004
9.00E+001       -7.00E+001      -1.04E-003      2.36E-004
9.50E+001       -7.00E+001      -9.81E-004      9.04E-005
                        
0.00E+000       -6.50E+001      0.00E+000       4.03E-001
5.00E+000       -6.50E+001      -3.47E-001      7.83E-001
1.00E+001       -6.50E+001      -9.51E-001      1.57E+000
1.50E+001       -6.50E+001      -1.73E+000      1.23E+000
2.00E+001       -6.50E+001      -2.41E+000      8.05E-001
2.50E+001       -6.50E+001      -2.62E+000      4.43E-001
3.00E+001       -6.50E+001      -2.62E+000      1.49E-001
3.50E+001       -6.50E+001      -2.44E+000      -5.63E-001
4.00E+001       -6.50E+001      -1.92E+000      -5.69E-001
4.50E+001       -6.50E+001      -5.18E-001      6.26E-002
5.00E+001       -6.50E+001      -1.99E-003      2.38E-003
5.50E+001       -6.50E+001      -2.08E-003      2.01E-003
6.00E+001       -6.50E+001      -2.05E-003      1.67E-003
6.50E+001       -6.50E+001      -1.81E-003      1.20E-003
7.00E+001       -6.50E+001      -1.64E-003      9.44E-004
7.50E+001       -6.50E+001      -1.51E-003      7.25E-004
8.00E+001       -6.50E+001      -1.39E-003      5.37E-004
8.50E+001       -6.50E+001      -1.29E-003      3.74E-004
9.00E+001       -6.50E+001      -1.20E-003      2.26E-004
9.50E+001       -6.50E+001      -1.13E-003      8.76E-005
                        
0.00E+000       -6.00E+001      0.00E+000       1.27E+000
5.00E+000       -6.00E+001      -1.22E+000      2.15E+000
1.00E+001       -6.00E+001      -2.34E+000      3.53E+000
1.50E+001       -6.00E+001      -2.27E+000      2.46E+000
2.00E+001       -6.00E+001      -2.84E+000      1.84E+000
2.50E+001       -6.00E+001      -3.21E+000      1.10E+000
3.00E+001       -6.00E+001      -3.29E+000      2.99E-001
3.50E+001       -6.00E+001      -2.89E+000      -2.53E-001
4.00E+001       -6.00E+001      -2.86E+000      -6.76E-001
4.50E+001       -6.00E+001      -2.75E+000      -1.04E+000
5.00E+001       -6.00E+001      -1.86E+000      -8.16E-001
5.50E+001       -6.00E+001      -3.02E-001      -2.73E-003
6.00E+001       -6.00E+001      -2.84E-003      1.56E-003
6.50E+001       -6.00E+001      -2.12E-003      1.13E-003
7.00E+001       -6.00E+001      -1.90E-003      8.91E-004
7.50E+001       -6.00E+001      -1.73E-003      6.90E-004
8.00E+001       -6.00E+001      -1.58E-003      5.08E-004
8.50E+001       -6.00E+001      -1.46E-003      3.48E-004
9.00E+001       -6.00E+001      -1.36E-003      2.12E-004
9.50E+001       -6.00E+001      -1.28E-003      8.18E-005
                        
0.00E+000       -5.50E+001      0.00E+000       2.45E+000
